date,avg_temp,max_temp,min_temp,total_rain,leaf_wetness,humidity,avg_wind_mph,sb,,,,,,,,,,
4/1/2020,46.5,53.6,39.4,0.04,14,10,4.4,0,,,,,,,,,,
4/2/2020,49.2,58.8,39.6,0,0,0,11.7,0,,,,,,,,,,
4/3/2020,51.9,59.5,44.2,0,0,0,10,0,,,,,,,,,,
4/4/2020,50.5,57,44.1,0.05,5,0,4,0,,,,,,,,,,
4/5/2020,55,67.3,42.6,0,5,4,2.2,0,,,,,,,,,,
4/6/2020,56,65.3,46.6,0,0,0,4.3,0,,,,,,,,,,
4/7/2020,57.3,67.3,47.3,0,4,0,2.8,0,,,,,,,,,,
4/8/2020,61.9,72,51.8,0.27,7,4,6.6,0,,,,,,,,,,
4/9/2020,48.6,60.8,36.5,0.16,7,2,9.4,0,,,,,,,,,,
4/10/2020,40.8,45.3,36.3,0,0,0,15.4,0,,,,,,,,,,
4/11/2020,45.9,56.1,35.6,0,0,0,6.2,0,,,,,,,,,,
4/12/2020,50.3,63.1,37.4,0.07,3,1,3.1,0,,,,,,,,,,
4/13/2020,60.4,70.9,49.8,1.41,15,14,9.7,0,,,,,,,,,,
4/14/2020,43.5,50.5,36.5,0.02,3,1,5.6,0,,,,,,,,,,
4/15/2020,42.5,51.6,33.3,0,9,2,5,0,,,,,,,,,,
4/16/2020,41.2,46.4,36,0,0,0,7.1,0,,,,,,,,,,
4/17/2020,38.9,51.1,26.6,0.11,6,1,3.2,0,,,,,,,,,,
4/18/2020,44.8,51.4,38.1,0.14,10,9,5.7,0,,,,,,,,,,
4/19/2020,45.3,58.3,32.2,0,0,0,3.8,0,,,,,,,,,,
4/20/2020,53.8,62.1,45.5,0,0,0,3.9,0,,,,,,,,,,
4/21/2020,48.8,58.3,39.4,0.07,12,2,8.5,0,,,,,,,,,,
4/22/2020,44.2,53.6,34.7,0,0,0,10,0,,,,,,,,,,
4/23/2020,47,55.2,38.7,0.28,8,4,2.9,0,,,,,,,,,,
4/24/2020,48.8,52.9,44.6,0.3,17,22,4.4,0,,,,,,,,,,
4/25/2020,52.5,62.6,42.4,0,10,10,3.8,0,,,,,,,,,,
4/26/2020,46.2,50.2,42.1,0.65,24,20,4.3,0,,,,,,,,,,
4/27/2020,47.2,54.7,39.6,0.02,12,9,8.1,0,,,,,,,,,,
4/28/2020,45.9,54.7,37,0.01,6,1,3.5,0,,,,,,,,,,
4/29/2020,56.5,69.8,43.3,0.04,13,10,3.4,0,,,,,,,,,,
4/30/2020,57.2,60.8,53.6,2.83,24,23,5.6,0,,,,,,,,,,
5/1/2020,56.4,64.2,48.6,0.01,11,8,6.4,0,,,,,,,,,,
5/2/2020,59.9,70,49.8,0,0,0,6.9,0,,,,,,,,,,
5/3/2020,64.6,75.9,53.2,0.06,6,1,4.3,0,,,,,,,,,,
5/4/2020,59,67.3,50.7,0,0,0,10,0,,,,,,,,,,
5/5/2020,46.7,52.7,40.6,0,1,0,2.8,0,,,,,,,,,,
5/6/2020,45.6,48.9,42.3,0.58,23,21,3.7,0,,,,,,,,,,
5/7/2020,51.9,63.9,39.9,0,6,3,5.7,0,,,,,,,,,,
5/8/2020,47.5,57.6,37.4,0.43,15,7,4.4,0,,,,,,,,,,
5/9/2020,37.7,43.7,31.6,0,0,0,10.6,0,,,,,,,,,,
5/10/2020,47.5,62.4,32.7,0,0,0,6.6,0,,,,,,,,,,
5/11/2020,48.3,54.3,42.3,0,0,0,7.8,0,,,,,,,,,,
5/12/2020,48.4,57.2,39.6,0,0,0,5.8,0,,,,,,,,,,
5/13/2020,54.7,67.3,42.1,0,0,0,3.5,0,,,,,,,,,,
5/14/2020,54.2,66.7,41.7,0,2,0,3.8,0,,,,,,,,,,
5/15/2020,71.6,83.7,59.5,0.08,12,7,5.3,0,,,,,,,,,,
