date,Avg Air Temp (˚F),Max Air Temp (˚F),Min Air Temp (˚F),Total Precipitation,Leaf Wethess (hrs),Relative Humidity (hrs >= 90),Avg Wind Speed (mph)
4/1/2023,59,72,46,0.08,11,7,11.2
4/2/2023,45.4,52.9,37.9,0,0,0,8.2
4/3/2023,50.5,66,34.9,0,0,0,4.9
4/4/2023,62.3,76.3,48.4,0,4,0,3.1
4/5/2023,69.5,83.7,55.4,0,9,7,4.3
4/6/2023,65.4,76.8,54,0.23,10,9,6.1
4/7/2023,50.3,52.7,47.8,0,0,0,5.5
4/8/2023,42.5,49.8,35.2,0,0,0,3.4
4/9/2023,45.2,59.2,31.1,0,0,0,1.9
4/10/2023,50,65.1,34.9,0,0,0,2.3
4/11/2023,57.8,74.3,41.2,0,0,0,4.3
4/12/2023,72,82,62.1,0,0,0,6
4/13/2023,69.3,85.1,53.6,0,0,0,3.5
4/14/2023,69.3,82,56.7,0,1,0,2.5
4/15/2023,65,70,60.1,0.58,17,16,2.1
4/16/2023,67.5,77.7,57.4,0,9,9,3.3
4/17/2023,57,65.3,48.6,0.03,5,0,8.1
4/18/2023,47.4,56.7,38.1,0,2,0,6.9
4/19/2023,52.7,72,33.4,0,5,1,3.4
4/20/2023,65.5,80.6,50.5,0,0,0,2.6
4/21/2023,67.7,84.2,51.1,0,7,7,2.4
4/22/2023,61.3,69.8,52.7,0.35,10,8,4.5
4/23/2023,50.1,59.7,40.5,0,7,4,6.5
4/24/2023,44.8,55.9,33.8,0,2,0,5
4/25/2023,45.5,57.4,33.6,0,5,0,3
4/26/2023,52.8,63.3,42.4,0.02,13,0,1.9
4/27/2023,55.8,64.6,46.9,0.05,10,10,2.1
4/28/2023,51.3,55,47.5,1.25,22,23,4.6
4/29/2023,54.1,60.8,47.5,0.14,12,18,2.9
4/30/2023,53.6,55.2,52,1.68,22,21,4.8
5/1/2023,49.8,55,44.6,0.01,4,1,7.3
5/2/2023,44.7,49.3,40.1,0,7,3,5.9
5/3/2023,46.6,52.3,41,0.07,14,1,5.5
5/4/2023,51,61.5,40.5,0,3,0,5.2
5/5/2023,52.5,64.8,40.3,0,5,3,3.6
5/6/2023,57.2,71.1,43.3,0,8,1,1.5
5/7/2023,58.8,70.7,46.9,0.02,12,4,2.2
5/8/2023,65.5,74.8,56.1,0.01,8,8,4.2
5/9/2023,60.4,68.9,51.8,0.05,4,0,2.8
5/10/2023,60.2,71.8,48.6,0,0,0,3.1
5/11/2023,63.2,79.3,47.1,0,0,0,1.4
5/12/2023,68.8,83.5,54,0,8,0,1.6
5/13/2023,61.7,68.9,54.5,0.36,18,7,2
5/14/2023,64.2,73.6,54.7,0,1,0,4.6
5/15/2023,60.9,74.3,47.5,0,0,0,3.8
5/16/2023,62.2,77.2,47.1,0,7,5,4.2
5/17/2023,57.9,66.9,48.9,0,0,0,6.1
5/18/2023,53.2,66.9,39.4,0,0,0,4.1
5/19/2023,58.3,70.3,46.2,0,7,4,4.1
5/20/2023,62.8,76.5,49.1,0.02,15,9,3
5/21/2023,63.3,76.1,50.5,0,2,0,5
5/22/2023,65.6,78.1,53.1,0,0,0,1.6
5/23/2023,64.5,74.8,54.1,0,4,0,2.5
5/24/2023,63.7,79.7,47.7,0,15,5,2.5
5/25/2023,56.2,67.3,45.1,0,9,0,6.1
5/26/2023,61.4,73.4,49.3,0,6,0,3.7
5/27/2023,60.9,76.6,45.3,0,9,0,2.1
5/28/2023,61.6,75.6,47.7,0,8,0,1.9
5/29/2023,70.3,83.8,56.7,0,6,0,2.9
5/30/2023,65.8,78.1,53.4,0,3,0,3.4
5/31/2023,63.4,79.9,46.8,0,7,2,1.8
6/1/2023,66.8,85.8,47.7,0,7,0,1.6
6/2/2023,73.8,91.6,55.9,0,7,0,2.5
6/3/2023,75,85.6,64.4,0.15,7,2,4.2
6/4/2023,66.8,75.9,57.6,0,9,3,3.5
6/5/2023,65,74.5,55.4,0,4,0,5.1
6/6/2023,66,78.8,53.1,0,8,0,5.7
6/7/2023,64,74.7,53.2,0,7,0,4
6/8/2023,61.7,73,50.4,0,4,0,3.6
6/9/2023,61.8,71.4,52.2,0.02,17,0,2.8
6/10/2023,66.7,82.4,50.9,0,8,0,4.3
6/11/2023,71.4,87.8,55,0,7,0,3.7
6/12/2023,67.8,73.8,61.7,0.59,16,8,5
6/13/2023,63.5,75.2,51.8,0,8,7,4.5
6/14/2023,65.4,74.1,56.8,0.09,11,6,4.9
6/15/2023,65.3,77.5,53.1,0,1,0,3.5
6/16/2023,65.4,73.6,57.2,0.39,7,2,2.8
6/17/2023,69.5,78.1,61,0,0,0,7
6/18/2023,71.2,81.9,60.4,0,0,0,4.9
6/19/2023,70.7,86.7,54.7,0,7,0,3.7
6/20/2023,73,79.5,66.4,0,18,6,3
6/21/2023,62.4,68.9,55.9,0.2,23,3,4.3
6/22/2023,58.4,61.7,55,0.41,24,24,4.1
6/23/2023,65.4,68.9,61.9,0.68,24,24,2
6/24/2023,75.2,82.8,67.5,0,14,11,2
6/25/2023,75,84.4,65.5,0,13,2,2.9
6/26/2023,76.9,87.3,66.6,0.08,13,11,2.3
6/27/2023,71.9,80.8,63,0.01,19,9,3
6/28/2023,69.8,77.4,62.2,0,17,3,4.3
6/29/2023,70,82,57.9,0,13,6,1.5
6/30/2023,71.6,83.1,60.1,0.03,18,6,2.1
7/1/2023,72.8,77.9,67.8,0.04,24,13,2.5
7/2/2023,78.6,86.7,70.5,0.22,15,12,3.6
7/3/2023,77,84.9,69.1,0.53,15,12,2.4
7/4/2023,77.7,86,69.3,0.01,12,9,2.7
7/5/2023,79.6,89.6,69.6,0,10,2,1.5
7/6/2023,78.9,89.4,68.4,0,10,8,2
7/7/2023,78.6,87.6,69.6,0.14,18,12,1.4
7/8/2023,79.6,88.2,70.9,0,11,8,3.1
7/9/2023,73,80.2,65.7,0.24,19,21,2.3
7/10/2023,74.3,84,64.6,0,10,9,3.8
7/11/2023,75,87.8,62.1,0,9,3,2
7/12/2023,77.7,88.7,66.6,0,22,0,3.8
7/13/2023,79.3,91.9,66.7,0,24,0,4.2
7/14/2023,79.1,88,70.2,0,24,1,2.8
7/15/2023,79.3,92.1,66.6,0,24,9,3.2
7/16/2023,77.7,86,69.4,0.22,18,12,2.8
7/17/2023,77.8,87.8,67.8,0.02,12,3,3.7
