date,Avg Air Temp (˚F),Max Air Temp (˚F),Min Air Temp (˚F),Total Precipitation,Leaf Wethess (hrs),Relative Humidity (hrs >= 90),Avg Wind Speed (mph),Southern Blight
4/1/2024,49.9,53.2,46.6,0.74,24,17,2.4,
4/2/2024,46.6,48.6,44.6,1.29,24,24,4.3,
4/3/2024,43.8,45.9,41.7,1.36,24,24,4.5,
4/4/2024,44,52.9,35.2,0,24,9,4.4,
4/5/2024,41.7,45.5,37.9,0.02,24,1,7.2,
4/6/2024,45.9,53.6,38.1,0,24,0,9.8,
4/7/2024,52.4,61.5,43.3,0,24,0,6.3,
4/8/2024,54.2,66,42.4,0,24,0,2.6,
4/9/2024,61,75.9,46,0,24,0,2.4,
4/10/2024,64.8,72.5,57,0,24,0,1.8,
4/11/2024,63.8,67.6,60.1,0.06,24,12,6.3,
4/12/2024,56.3,64,48.6,0.51,24,7,11,
4/13/2024,53.8,60.8,46.8,0.18,24,1,12.5,
4/14/2024,62.4,80.2,44.6,0,24,0,7.1,
4/15/2024,67.8,78.8,56.8,0.3,24,5,4.4,
4/16/2024,59.7,72.1,47.3,0,24,0,2.3,
4/17/2024,59.9,68.4,51.4,0,24,1,2.1,
4/18/2024,59.5,67.8,51.3,0.1,24,16,1.7,
4/19/2024,48.6,50.9,46.4,0.04,24,24,3.8,
4/20/2024,57.5,66.7,48.2,0.02,24,9,6.4,
4/21/2024,44.2,50.5,37.9,0,24,0,4.5,
4/22/2024,48.7,62.2,35.2,0,24,0,4.2,
4/23/2024,53.6,68,39.2,0,24,0,5.2,
4/24/2024,58.6,65.5,51.8,0,24,0,5.9,
4/25/2024,49.5,59.2,39.9,0,24,0,3.6,
4/26/2024,51.6,64.4,38.7,0,24,6,3.4,
4/27/2024,48,50.2,45.9,0.16,24,10,3.6,
4/28/2024,66.7,82.8,50.5,0.01,24,14,1.9,
4/29/2024,72,86.4,57.6,0,24,3,2.6,
4/30/2024,73.1,84,62.2,0.06,24,1,3.8,
