date,avg_temp,max_temp,min_temp,total_rain
4/1/2020,46.5,53.6,39.4,0.04
4/2/2020,49.2,58.8,39.6,0
4/3/2020,51.9,59.5,44.2,0
4/4/2020,50.5,57,44.1,0.05
4/5/2020,55,67.3,42.6,0
4/6/2020,56,65.3,46.6,0
4/7/2020,57.3,67.3,47.3,0
4/8/2020,61.9,72,51.8,0.27
4/9/2020,48.6,60.8,36.5,0.16
4/10/2020,40.8,45.3,36.3,0
4/11/2020,45.9,56.1,35.6,0
4/12/2020,50.3,63.1,37.4,0.07
4/13/2020,60.4,70.9,49.8,1.41
4/14/2020,43.5,50.5,36.5,0.02
4/15/2020,42.5,51.6,33.3,0
4/16/2020,41.2,46.4,36,0
4/17/2020,38.9,51.1,26.6,0.11
4/18/2020,44.8,51.4,38.1,0.14
4/19/2020,45.3,58.3,32.2,0
4/20/2020,53.8,62.1,45.5,0
4/21/2020,48.8,58.3,39.4,0.07
4/22/2020,44.2,53.6,34.7,0
4/23/2020,47,55.2,38.7,0.28
4/24/2020,48.8,52.9,44.6,0.3
4/25/2020,52.5,62.6,42.4,0
4/26/2020,46.2,50.2,42.1,0.65
4/27/2020,47.2,54.7,39.6,0.02
4/28/2020,45.9,54.7,37,0.01
4/29/2020,56.5,69.8,43.3,0.04
4/30/2020,57.2,60.8,53.6,2.83
5/1/2020,56.4,64.2,48.6,0.01
5/2/2020,59.9,70,49.8,0
5/3/2020,64.6,75.9,53.2,0.06
5/4/2020,59,67.3,50.7,0
5/5/2020,46.7,52.7,40.6,0
5/6/2020,45.6,48.9,42.3,0.58
5/7/2020,51.9,63.9,39.9,0
5/8/2020,47.5,57.6,37.4,0.43
5/9/2020,37.7,43.7,31.6,0
5/10/2020,47.5,62.4,32.7,0
5/11/2020,48.3,54.3,42.3,0
5/12/2020,48.4,57.2,39.6,0
5/13/2020,54.7,67.3,42.1,0
5/14/2020,54.2,66.7,41.7,0
5/15/2020,71.6,83.7,59.5,0.08
5/16/2020,66.7,74.1,59.2,0
5/17/2020,59.1,62.4,55.9,0.05
5/18/2020,62.3,69.3,55.2,0
5/19/2020,60.6,68.5,52.7,0
5/20/2020,55.9,64.2,47.5,0
5/21/2020,55.4,68.5,42.3,0
5/22/2020,62,66.4,57.6,0.29
5/23/2020,69.1,79.2,59,0.03
5/24/2020,62,66.6,57.4,0
5/25/2020,65.5,72.7,58.3,0
5/26/2020,69.6,82,57.2,0
5/27/2020,68.7,76.8,60.6,0
5/28/2020,73.6,81.5,65.7,0.16
5/29/2020,75.2,83.8,66.6,0.47
5/30/2020,71.1,77.7,64.4,0
5/31/2020,59.9,70.2,49.5,0
