year,april,may,june,july,aug,sept,oct,seasonal_sum,annuaL_sum
1980,4.66,4.49,4.02,1.48,1.71,1.53,2.55,20.44,33.75
1981,3.23,3.17,4.14,2.79,4.08,3.02,4.09,24.52,36.7
1982,4.17,2.13,6.73,2.68,1.6,2.65,1.62,21.58,35.09
1983,8.18,4.98,4.42,0.83,2.01,2.05,5.34,27.81,47.72
1984,4.26,4.77,4.41,6.3,8.24,1.11,2.37,31.46,49.99
1985,1.07,5.82,2.83,7.1,3.32,2,1.94,24.08,M
1986,3.24,2.92,2.06,2.14,3.97,1.86,2.46,18.65,36.43
1987,3.78,3.82,2.09,2.16,2.11,9.56,2.34,25.86,38.27
1988,2.48,5.9,0.73,2.59,4.41,3.08,1.48,20.67,32.03
1989,1.57,8.81,7.55,7.05,3.04,2.04,5.11,35.17,47.03
1990,3.04,6.42,0.91,4.58,6.1,1.52,7.5,30.07,46.58
1991,2.38,2.73,0.37,1.27,4.77,3.93,3.18,18.63,32.7
1992,4.07,4.4,1.68,5.24,1,5.7,2.36,24.45,43.79
1993,7.8,1.62,2.72,4.03,2.37,10.19,3.17,31.9,53.92
1994,1.79,5.04,2.92,4.72,4.99,2.93,0.7,23.09,47.24
1995,1.73,3.76,5.95,5.52,0.82,2.69,6.08,26.55,41.32
1996,3.29,6.21,8.86,5.81,3.57,9.09,4.28,41.11,65.44
1997,1.66,2.72,2.58,2.98,2.68,5.72,1.77,20.11,37.5
1998,4.67,5.84,3.96,4.29,2.08,1,2.31,24.15,44
1999,4.36,2.42,1.3,1.15,3.87,7.71,3.1,23.91,40.83
2000,4.1,4.66,3.98,3.77,2.82,8.76,0.7,28.79,44.19
2001,2.42,2.98,2.3,1.46,4.06,3.55,0.76,17.53,29.82
2002,3.56,4.1,3.3,1.54,3.48,5.38,6.85,28.21,43.42
2003,3.31,7.19,8.22,2.1,4.16,7.45,4.3,36.73,54.56
2004,5.72,4.58,9.44,4.23,5.96,8.7,1.54,40.17,56.07
2005,4.57,2.09,2.95,4.71,4.12,0.27,6.9,25.61,M
2006,3.52,2.95,8.92,2.02,1.01,3.54,4.86,26.82,41.35
2007,3.7,1.89,2.35,1.56,4.75,1.29,4.09,19.63,36.33
2008,5.06,6.2,3.17,4.07,2.59,8.01,1.94,31.04,49.29
2009,4.43,7.16,4.68,4.53,4.05,3.27,5.87,33.99,45.69
2010,1.96,3.69,2.14,2.36,2.86,4.91,4.84,22.76,38.69
2011,M,5.15,1.4,M,M,M,M,M,M
2012,M,M,M,4.43,M,M,6.3,M,M
2013,2.13,2.9,5.25,3.54,4.34,1.87,7.83,27.86,41.48
2014,4.27,5.89,4.34,2.07,5.63,1.59,4.99,28.78,42.58
2015,3.52,2.35,12.52,3.41,6.8,4.13,3.13,35.86,46.97
2016,1.63,5.04,3.07,1.27,2.82,6.93,1.48,22.24,37.33
2017,3.35,5.99,2.42,4.47,3.84,1.87,6.48,28.42,38.1
2018,4.79,5.14,4.5,9.36,5.18,11.5,2.73,43.2,66.18
2019,4.07,6.98,3.69,6.89,1.8,0.49,6.34,30.26,48.58
2020,4.1,4.67,2.75,2.71,3.02,2.49,2.2,21.94,36.37
2021,2.62,3.75,2.71,2.81,2.54,9.32,3.7,27.45,36.4
2022,3.61,6.32,3.46,2.41,4.78,3.62,3.06,27.26,42.04
2023,3.78,1.05,2.48,5.63,2.69,4.28,2.3,22.21,37.79
2024,4.63,3.76,3.02,1.65,8.41,4.32,0.72,26.51,M
