year,april,may,june,july,aug,sept,oct,avg
1980,0.16,0.14,0.13,0.05,0.06,0.05,0.08,0.095714286
1981,0.11,0.1,0.14,0.09,0.13,0.1,0.13,0.114285714
1982,0.14,0.07,0.22,0.09,0.05,0.09,0.05,0.101428571
1983,0.27,0.16,0.15,0.03,0.06,0.07,0.17,0.13
1984,0.14,0.15,0.15,0.2,0.27,0.04,0.08,0.147142857
1985,0.04,0.19,0.09,0.23,0.11,0.07,0.06,0.112857143
1986,0.11,0.09,0.07,0.07,0.13,0.06,0.08,0.087142857
1987,0.13,0.12,0.07,0.07,0.07,0.32,0.08,0.122857143
1988,0.08,0.19,0.02,0.08,0.14,0.1,0.05,0.094285714
1989,0.05,0.28,0.25,0.23,0.1,0.07,0.16,0.162857143
1990,0.1,0.21,0.03,0.15,0.2,0.05,0.24,0.14
1991,0.08,0.09,0.01,0.04,0.15,0.13,0.1,0.085714286
1992,0.14,0.14,0.06,0.17,0.03,0.19,0.08,0.115714286
1993,0.26,0.05,0.09,0.13,0.08,0.34,0.1,0.15
1994,0.06,0.16,0.1,0.15,0.16,0.1,0.02,0.107142857
1995,0.06,0.12,0.2,0.18,0.03,0.09,0.2,0.125714286
1996,0.11,0.2,0.3,0.19,0.12,0.3,0.14,0.194285714
1997,0.06,0.09,0.09,0.1,0.09,0.19,0.06,0.097142857
1998,0.16,0.19,0.13,0.14,0.07,0.03,0.07,0.112857143
1999,0.15,0.08,0.04,0.04,0.12,0.26,0.1,0.112857143
2000,0.14,0.15,0.13,0.12,0.09,0.29,0.02,0.134285714
2001,0.08,0.1,0.08,0.05,0.13,0.12,0.02,0.082857143
2002,0.12,0.13,0.11,0.05,0.11,0.18,0.22,0.131428571
2003,0.11,0.23,0.27,0.07,0.13,0.25,0.14,0.171428571
2004,0.19,0.15,0.31,0.14,0.19,0.29,0.05,0.188571429
2005,0.15,0.07,0.1,0.15,0.13,0.01,0.22,0.118571429
2006,0.12,0.1,0.3,0.07,0.03,0.12,0.16,0.128571429
2007,0.12,0.06,0.08,0.05,0.15,0.04,0.13,0.09
2008,0.17,0.2,0.11,0.13,0.08,0.27,0.06,0.145714286
2009,0.15,0.23,0.16,0.15,0.13,0.11,0.19,0.16
2010,0.07,0.12,0.07,0.08,0.09,0.16,0.16,0.107142857
2011,M,0.17,0.05,M,M,M,M,0.11
2012,M,M,M,0.14,M,M,0.2,0.17
2013,0.07,0.09,0.18,0.11,0.14,0.06,0.25,0.128571429
2014,0.14,0.19,0.14,0.07,0.18,0.05,0.16,0.132857143
2015,0.12,0.08,0.42,0.11,0.22,0.14,0.1,0.17
2016,0.05,0.16,0.1,0.04,0.09,0.23,0.05,0.102857143
2017,0.11,0.19,0.08,0.14,0.12,0.06,0.21,0.13
2018,0.16,0.17,0.15,0.3,0.17,0.38,0.09,0.202857143
2019,0.14,0.23,0.12,0.22,0.06,0.02,0.2,0.141428571
2020,0.14,0.15,0.09,0.09,0.1,0.08,0.07,0.102857143
2021,0.09,0.12,0.09,0.09,0.08,0.31,0.12,0.128571429
2022,0.12,0.2,0.12,0.08,0.15,0.12,0.1,0.127142857
2023,0.13,0.03,0.08,0.18,0.09,0.14,0.07,0.102857143
2024,0.15,0.12,0.1,0.05,0.27,0.14,0.02,0.121428571
