year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1970,M,M,M,M,M,M,M,M,M,M,M,M,M
1971,M,M,M,M,M,M,M,M,M,M,M,M,M
1972,M,26.9,37.4,47.6,60.5,64.6,73,70.3,66.2,49.1,39.9,36,52
1973,32.3,30.5,45.5,49.9,56.6,71.1,73.2,73.5,66.5,55.4,44.4,33.9,52.7
1974,33.4,28.8,39.8,51.9,59.2,65.6,72.9,72.2,63.2,50.3,44.3,34.9,51.4
1975,32.1,32.1,36.7,45.6,63,68.9,73,73.9,61,56.8,48.1,32,51.9
1976,24.5,36.9,42.7,53.3,57.7,71.3,70.1,70.1,62.8,47.9,37.4,26.4,50.1
1977,17.8,30.5,45.1,53.8,63.9,67.1,74.4,72.4,66.6,51.4,43.8,29,51.3
1978,23.9,21.6,35.3,49.8,58.5,68.5,70.4,74.1,65.7,50.8,44.2,34.2,49.8
1979,26.3,20.3,41.9,48.7,60.3,66,70.6,71.2,64.3,51.6,46.8,35.2,50.3
1980,28.7,27.6,36.8,51.6,62.4,66.5,74.9,75.1,67.7,50.7,39.1,30,50.9
1981,23.6,33.9,37.6,52.9,59.6,69.7,73.2,69.9,62.7,49.2,42.8,30.6,50.5
1982,20.1,29.8,37.2,46.7,62.2,65.2,72.6,67.6,62.8,51.9,43.6,37.3,49.8
1983,29.2,30.7,40.2,47.2,56.7,68.4,73.9,73.5,64.7,51.9,42.2,28,50.6
1984,22.8,34.6,31.3,46.3,57.3,68.6,69.9,71.1,60.9,57.5,39.4,37.5,49.8
1985,23.5,30.8,41.9,53.1,62,66.9,72.8,70.7,66,54.4,47.3,29.2,51.6
1986,29,28.3,40,51.7,62.5,70.3,74.8,70,64.4,54.5,39.7,33.8,51.6
1987,27.8,30.3,42.1,49.6,62.2,71.8,77.2,72.8,65.1,47.9,43.7,35.8,52.2
1988,23.2,30.5,41,48.5,61.2,70.4,77.7,75.6,62.2,48.9,43.7,31.7,51.2
1989,33.7,31.2,38.1,47.9,58.8,71,73.2,71,64.8,54.6,40.3,20.9,50.5
